C:\Users\1027k>atlas metrics processes  testcluster-shard-00-02.hhn0w.mongodb.net:27017   --start 2024-01-19T00:00:00Z  --end 2024-01-19T02:00:00Z --granularity PT5M
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPCOUNTER_REPL_DELETE                          SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPCOUNTER_REPL_INSERT                          SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0.04666573
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
OPERATIONS_SCAN_AND_ORDER                      SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
OP_EXECUTION_TIME_READS                        MILLISECONDS         2024-01-19 01:14:12 +0000 UTC         0.17031325
OP_EXECUTION_TIME_READS                        MILLISECONDS         2024-01-19 01:19:12 +0000 UTC         0.15154967
